algorithm_name,env_n,size,best_solution,H,states,time
SA,3,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,1584,0.004746718001115369
GA,3,8,"[2, 6, 3, 0, 7, 1, 4, 1]",1,5000,0.24311881299945526
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,5000,0.023611320997588336
HC,4,8,"[0, 3, 1, 6, 7, 2, 4, 1]",2,225,0.0005386709999584127
SA,4,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,1701,0.005181885000638431
GA,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,5000,0.2609743079992768
random,5,8,"[7, 5, 3, 0, 4, 7, 2, 6]",2,5000,0.0238028609965113
HC,5,8,"[4, 5, 0, 6, 3, 7, 2, 1]",2,169,0.0004285489994799718
SA,5,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1677,0.005204443001275649
GA,5,8,"[5, 0, 2, 6, 4, 7, 1, 3]",1,5000,0.2467251580019365
random,6,8,"[4, 6, 0, 5, 7, 1, 6, 3]",2,5000,0.023144335998949828
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,169,0.00040064600034384057
SA,6,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,1669,0.00499931100057438
GA,6,8,"[3, 7, 0, 3, 1, 7, 5, 2]",2,5000,0.2384754630002135
random,7,8,"[2, 6, 1, 4, 7, 0, 3, 5]",1,5000,0.02309499799957848
HC,7,8,"[4, 2, 6, 3, 1, 7, 5, 0]",1,225,0.0005250169997452758
SA,7,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,2463,0.007593250000354601
GA,7,8,"[3, 7, 0, 7, 5, 1, 1, 6]",2,5000,0.24571507500149892
random,8,8,"[3, 1, 4, 2, 0, 5, 7, 1]",2,5000,0.023074863998772344
HC,8,8,"[3, 5, 6, 2, 0, 7, 1, 4]",1,225,0.0005365950019040611
SA,8,8,"[4, 2, 5, 2, 6, 3, 0, 7]",1,2758,0.008379038001294248
GA,8,8,"[2, 4, 7, 1, 3, 5, 0, 6]",1,5000,0.24302923400318832
random,9,8,"[7, 5, 3, 6, 0, 7, 4, 4]",2,5000,0.023293173999263672
HC,9,8,"[7, 1, 4, 6, 2, 0, 5, 3]",1,225,0.0005464430032589007
SA,9,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,1507,0.004588810999848647
GA,9,8,"[7, 5, 3, 6, 0, 7, 4, 1]",1,5000,0.2411981699988246
